"tree_node_id";"period_id";"state_id";"effect_id";"currency_id";"financials_decumulated_amount";"financials_cumulated_amount";"financials_base_currency_flag";"financials_level_aggregation";"snapshot_date"
"7f3c3790e314440c888d466b87aa0d8f";"20201231";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;173;173;true;;"2021-02-18 23:59:59"
"7f3c3790e314440c888d466b87aa0d8f";"20210131";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;209;209;true;;"2021-02-18 23:59:59"
"7f3c3790e314440c888d466b87aa0d8f";"2020";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;313;313;true;;"2021-02-18 23:59:59"
"7f3c3790e314440c888d466b87aa0d8f";"2021";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;209;209;true;;"2021-02-18 23:59:59"
"7f3c3790e314440c888d466b87aa0d8f";"9999";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;522;522;true;;"2021-02-18 23:59:59"
"605f4f5b2e44433fb11cf794a81ab809";"20201130";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;803;803;true;;"2021-02-18 23:59:59"
"605f4f5b2e44433fb11cf794a81ab809";"20210131";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;1258;1258;true;;"2021-02-18 23:59:59"
"605f4f5b2e44433fb11cf794a81ab809";"20201231";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;1036;1036;true;;"2021-02-18 23:59:59"
"605f4f5b2e44433fb11cf794a81ab809";"2020";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;1839;1839;true;;"2021-02-18 23:59:59"
"605f4f5b2e44433fb11cf794a81ab809";"2021";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;1258;1258;true;;"2021-02-18 23:59:59"
"605f4f5b2e44433fb11cf794a81ab809";"9999";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;3097;3097;true;;"2021-02-18 23:59:59"
"2da50608c83e43fcaf3eddb25eb3698e";"20201231";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;41;41;true;;"2021-02-18 23:59:59"
"2da50608c83e43fcaf3eddb25eb3698e";"20210131";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;57;57;true;;"2021-02-18 23:59:59"
"2da50608c83e43fcaf3eddb25eb3698e";"20201130";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;33;33;true;;"2021-02-18 23:59:59"
"2da50608c83e43fcaf3eddb25eb3698e";"2020";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;74;74;true;;"2021-02-18 23:59:59"
"2da50608c83e43fcaf3eddb25eb3698e";"2021";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;57;57;true;;"2021-02-18 23:59:59"
"2da50608c83e43fcaf3eddb25eb3698e";"9999";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;131;131;true;;"2021-02-18 23:59:59"
cc26308e503941d5a2b870c4eccb910e;"20201130";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;413;413;true;;"2021-02-18 23:59:59"
cc26308e503941d5a2b870c4eccb910e;"20210131";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;620;620;true;;"2021-02-18 23:59:59"
cc26308e503941d5a2b870c4eccb910e;"20201231";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;556;556;true;;"2021-02-18 23:59:59"
cc26308e503941d5a2b870c4eccb910e;"2020";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;969;969;true;;"2021-02-18 23:59:59"
cc26308e503941d5a2b870c4eccb910e;"2021";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;620;620;true;;"2021-02-18 23:59:59"
cc26308e503941d5a2b870c4eccb910e;"9999";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;1589;1589;true;;"2021-02-18 23:59:59"
"37828a2c7f96474c997cafc92ac7b02f";"20201231";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;1647;1647;true;;"2021-02-18 23:59:59"
"37828a2c7f96474c997cafc92ac7b02f";"20210131";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;1892;1892;true;;"2021-02-18 23:59:59"
"37828a2c7f96474c997cafc92ac7b02f";"20201130";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;1284;1284;true;;"2021-02-18 23:59:59"
"37828a2c7f96474c997cafc92ac7b02f";"2020";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;2931;2931;true;;"2021-02-18 23:59:59"
"37828a2c7f96474c997cafc92ac7b02f";"2021";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;1892;1892;true;;"2021-02-18 23:59:59"
