"effect_id";"parent_id";"effect_original_aggregation";"effect_aggregation";"effect_year_aggregation";"effect_total_aggregation";"effect_is_auto_calculated";"effect_is_bold";"effect_description";"effect_is_italic";"effect_order";"effect_is_not_currency";"effect_restriction";"effect_is_calculation";"effect_calculation_formula";"effect_tags";"snapshot_date"
"Nombre de bonus octroyés à des véhicules électriques et hybrides rechargeables - BOE";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/07/2020";"False";"555";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de villes bénéficiaires - DVD";"";"None";"None";"None";"None";"False";"False";"Nombre de villes bénéficiaires";"False";"440";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de TPE/PME/ETI bénéficiaires - MNS";"";"None";"None";"None";"None";"False";"False";"";"False";"247";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de formations professionnelles à distance - DFO";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/01/2021";"False";"640";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de TPE/PME/ETI bénéficiaires - PIT";"";"None";"None";"None";"None";"False";"False";"";"False";"250";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Investissement total généré - VDP";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/2021";"False";"302";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Emissions de gaz à effet de serre évitées sur la durée de vie des équipements - CBC";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: Janvier 2021 ou février 2021";"False";"468";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de bâtiments collectivités territoriales dont le marché de rénovation est notifié - RBC";"";"None";"None";"None";"None";"False";"False";"";"False";"80";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de bénéficiaires de la prime à la conversion des agroéquipements - AEA";"";"None";"None";"None";"None";"False";"False";"";"False";"37";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Pourcentage des financements améliorant la performance climatique et matière - PVG";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/01/2022";"False";"175";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’abattoirs accompagnés - MDA";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 15/04/2021";"False";"25";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de kilomètres de voies réservées réalisées - VNA";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/12/2021";"False";"520";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Tonnage annuel de biodéchets soutenu - MCT";"";"None";"None";"None";"None";"False";"False";"Tonnage annuel de biodéchets soutenu";"False";"485";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant total de CO2 évité - ETH";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur : 14/10/2022";"False";"560";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’entreprises bénéficiaires - APR";"";"None";"None";"None";"None";"False";"False";"";"False";"226";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant total des levées de fonds - IFP";"";"None";"None";"None";"None";"False";"False";"";"False";"350";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de projets incluant une transformation de la ligne de production pour réduire son impact environnemental - FAA";"";"None";"None";"None";"None";"False";"False";"";"False";"152";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de TPE/PME/ETI bénéficiaires - APS";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/03/2021";"False";"235";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d'entreprises bénéficiaires - DRA";"";"None";"None";"None";"None";"False";"False";"Nombre d'entreprises bénéficiaires";"False";"427";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de places ouvertes en internat d’excellence - IEX";"";"None";"None";"None";"None";"False";"False";"";"False";"285";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Places créées en IAE pour les jeunes - IAE";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/01/2021";"False";"615";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de projets soutenus - ETH";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur : 30/03/2021";"False";"425";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de TPE/PME/ETI financées - AFG";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/07/2021";"False";"212";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de chercheurs bénéficiaires de la mesure - ERD";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 03/2021";"False";"245";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant des financements engagés par les opérateurs - MNS";"";"None";"None";"None";"None";"False";"False";"";"False";"330";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Pourcentage des entreprises réalisant un état des GES en début ou en fin de période - FVE";"";"None";"None";"None";"None";"False";"False";"";"False";"188";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de projets soutenus - REA";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 28/02/2021";"False";"421";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de logements et locaux professionnels connectables à la fibre - THD";"";"None";"None";"None";"None";"False";"False";"";"False";"55";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de stratégies validées - MTV";"";"None";"None";"None";"None";"False";"False";"";"False";"317";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de TPE/PME/ETI financées - ROF";"";"None";"None";"None";"None";"False";"False";"";"False";"214";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de TPE/PME/ETI bénéfinciaires - DRA";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/07/2021";"False";"130";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de ponts des collectivités recensés en vue d'un diagnostic - PRR";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/05/2021";"False";"292";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de centres de tri modernisés - MCT";"";"None";"None";"None";"None";"False";"False";"Nombre de centres de tri modernisés";"False";"475";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant total des investissements ainsi déclenchés (effet de levier) - ROF";"";"None";"None";"None";"None";"False";"False";"";"False";"222";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de fonds labellisés - GFP";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 19/10/2020";"False";"207";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de repas servis dans les restaurants universitaires au tarif à 1€ - RRU";"";"None";"None";"None";"None";"False";"False";"";"False";"295";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’entreprises aidées dans les secteurs du cinéma, de l’audiovisuel, du numérique et du livre - SFC";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/03/2020";"False";"110";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’entreprises ayant reçu l’aide - PEE";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/12/2020";"False";"457";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant total des projets financés - PIA";"";"None";"None";"None";"None";"False";"False";"";"False";"352";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de salariés en activité partielle de longue durée - APL";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/07/2020";"False";"575";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’entreprises bénéficiaires - ICC";"";"None";"None";"None";"None";"False";"False";"";"False";"264";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de stratégies validées - MNS";"";"None";"None";"None";"None";"False";"False";"";"False";"315";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant de l’investissement total déclenché - CIR";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur : 01/04/2021";"False";"385";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’entreprises bénéficiaires - CIR";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur : 01/04/2021";"False";"260";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant total des garanties souscrites - PVG";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 02/04/2021";"False";"170";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant des crédits programmés - ICC";"";"None";"None";"None";"None";"False";"False";"";"False";"319";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de contrats de professionnalisation bénéficiaires de l’aide exceptionnelle - CDP";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/07/2020";"False";"590";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Km de petites lignes dont les travaux sont soutenus - SPL";"";"None";"None";"None";"None";"False";"False";"Travaux validés. Date prévisionnelle de la première valeur non nulle de l'indicateur: 30/11/2020";"False";"510";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de TPE/PME/ETI bénéficiaires - PPA";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/04/2021";"False";"195";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Volume de GES évités - VDP";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: fin 2021";"False";"305";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Linéaire de réseaux d’eau potable et de réseaux d’assainissement soutenus en métropole - MRB";"";"None";"None";"None";"None";"False";"False";"Métropole uniquement. Date prévisionnelle de la première valeur non nulle de l'indicateur: 28/02/2021";"False";"445";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant total des projets - PIT";"";"None";"None";"None";"None";"False";"False";"";"False";"255";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant total des projets financés par les opérateurs - IFS";"";"None";"None";"None";"None";"False";"False";"";"False";"340";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
