"effect_id";"parent_id";"effect_original_aggregation";"effect_aggregation";"effect_year_aggregation";"effect_total_aggregation";"effect_is_auto_calculated";"effect_is_bold";"effect_description";"effect_is_italic";"effect_order";"effect_is_not_currency";"effect_restriction";"effect_is_calculation";"effect_calculation_formula";"effect_tags";"snapshot_date"
Nombre de projets d’investissement structurants - SHO;;None;None;None;None;false;false;"";false;360;true;"";false;"";{aggregated,periodicity:yearly,Administrations,Plan de Relance européen,effect:main};"2021-02-18 23:59:59"
Nombre de conseillers du numérique - INU;;None;None;None;None;false;false;"";false;60;true;"";false;"";{aggregated,periodicity:monthly,Plan de Relance européen,Particuliers,effect:main};"2021-02-18 23:59:59"
Montant total des investissements ainsi déclenchés (effet de levier) - AFG;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/07/2021;false;220;true;"";false;"";{Collectivités territoriales,tableau de bord,planningdate:072021,unit:M€,Entreprises,cumulated,aggregated,Plan de Relance européen,periodicity:monthly};"2021-02-18 23:59:59"
Montant total investi pour la rénovation de monuments historiques appartenant aux collectivités territoriales - PAT;;None;None;None;None;false;false;Tous financements cumulés (Etat, collectivités locales, autres). Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/09/2020;false;100;true;"";false;"";{periodicity:monthly,Plan de Relance européen,unit:M€,Entreprises,aggregated,planningdate:092020,tableau de bord,cumulated};"2021-02-18 23:59:59"
Nombre d’entreprises bénéficiaires du dispositif - MIR;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/03/2021;false;125;true;"";false;"";{planningdate:032021,aggregated,Plan de Relance européen,effect:main,appel à projets,cumulated,Entreprises,periodicity:quarterly};"2021-02-18 23:59:59"
Nombre d’appels à projet lancés - ICC;;None;None;None;None;false;false;"";false;323;true;"";false;"";{periodicity:monthly,Entreprises,PIA,aggregated};"2021-02-18 23:59:59"
Nombre de projets soutenus - DGA;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/09/2020;false;428;true;"";false;"";{Plan de Relance européen,Administrations,periodicity:monthly,Convention citoyenne pour le climat,effect:main,Entreprises,cumulated,planningdate:092020,aggregated};"2021-02-18 23:59:59"
Montant cumulé de l’investissement total ainsi déclenché - FAA;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/12/2020;false;144;true;"";false;"";{periodicity:monthly,Entreprises,planningdate:122020,aggregated,tableau de bord};"2021-02-18 23:59:59"
Montant des financements engagés par les opérateurs - DRA;;None;None;None;None;false;false;"";false;129;true;"";false;"";{Plan de Relance européen,aggregated,PIA,periodicity:monthly};"2021-02-18 23:59:59"
Nombre de bonus octroyés à des véhicules électriques et hybrides rechargeables - BOE;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/07/2020;false;555;true;"";false;"";{Plan de Relance européen,Particuliers,aggregated,planningdate:072020,effect:main,periodicity:monthly,Convention citoyenne pour le climat,tableau de bord};"2021-02-18 23:59:59"
Nombre de TPE/PME/ETI - MTV;;None;None;None;None;false;false;"";false;253;true;"";false;"";{Entreprises,PIA,aggregated,periodicity:quarterly};"2021-02-18 23:59:59"
Nombre de villes bénéficiaires - DVD;;None;None;None;None;false;false;Nombre de villes bénéficiaires;false;440;true;"";false;"";{periodicity:quarterly,Collectivités territoriales,Plan de Relance européen,aggregated,appel à projets,PIA};"2021-02-18 23:59:59"
Nombre de TPE/PME/ETI bénéficiaires - MNS;;None;None;None;None;false;false;"";false;247;true;"";false;"";{PIA,periodicity:quarterly,Plan de Relance européen,Entreprises,aggregated};"2021-02-18 23:59:59"
Nombre de formations professionnelles à distance - DFO;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/01/2021;false;640;true;"";false;"";{Particuliers,Plan de Relance européen,aggregated,effect:main,planningdate:012021,periodicity:monthly,cumulated};"2021-02-18 23:59:59"
Nombre de TPE/PME/ETI bénéficiaires - PIT;;None;None;None;None;false;false;"";false;250;true;"";false;"";{Entreprises,periodicity:monthly,tableau de bord,cumulated,Collectivités territoriales,appel à projets,aggregated};"2021-02-18 23:59:59"
Investissement total généré - VDP;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/2021;false;302;true;"";false;"";{cumulated,Entreprises,aggregated,periodicity:monthly,planningdate:012021,unit:€,Collectivités territoriales,Administrations};"2021-02-18 23:59:59"
Emissions de gaz à effet de serre évitées sur la durée de vie des équipements - CBC;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur: Janvier 2021 ou février 2021;false;468;true;"";false;"";{aggregated,Entreprises,periodicity:yearly,Plan de Relance européen,planningdate:012021,cumulated,Convention citoyenne pour le climat};"2021-02-18 23:59:59"
Nombre de bâtiments collectivités territoriales dont le marché de rénovation est notifié - RBC;;None;None;None;None;false;false;"";false;80;true;"";false;"";{effect:main,appel à projets,aggregated,tableau de bord,Collectivités territoriales,Plan de Relance européen,periodicity:monthly};"2021-02-18 23:59:59"
Nombre de bénéficiaires de la prime à la conversion des agroéquipements - AEA;;None;None;None;None;false;false;"";false;37;true;"";false;"";{Entreprises,effect:main,aggregated,periodicity:quarterly};"2021-02-18 23:59:59"
Nombre d’abattoirs accompagnés - MDA;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur: 15/04/2021;false;25;true;"";false;"";{cumulated,effect:main,planningdate:042021,periodicity:quarterly,Entreprises,aggregated};"2021-02-18 23:59:59"
Tonnage annuel de biodéchets soutenu - MCT;;None;None;None;None;false;false;Tonnage annuel de biodéchets soutenu;false;485;true;"";false;"";{appel à projets,periodicity:yearly,Collectivités territoriales,Entreprises,Plan de Relance européen,aggregated,Convention citoyenne pour le climat};"2021-02-18 23:59:59"
Montant total de CO2 évité - ETH;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur : 14/10/2022;false;560;true;"";false;"";{periodicity:monthly,Collectivités territoriales,appel à projets,planningdate:102022,Plan de Relance européen,Entreprises,Convention citoyenne pour le climat,aggregated};"2021-02-18 23:59:59"
Nombre d’entreprises bénéficiaires - APR;;None;None;None;None;false;false;"";false;226;true;"";false;"";{Entreprises,aggregated,periodicity:monthly,tableau de bord};"2021-02-18 23:59:59"
