"effect_id","parent_id","effect_original_aggregation","effect_aggregation","effect_year_aggregation","effect_total_aggregation","effect_is_auto_calculated","effect_is_bold","effect_description","effect_is_italic","effect_order","effect_is_not_currency","effect_restriction","effect_is_calculation","effect_calculation_formula","effect_tags","snapshot_date"
Nombre de projets incluant une transformation de la ligne de production pour réduire son impact environnemental - FAA,,None,None,None,None,false,false,"",false,152,true,"",false,"","{periodicity:biannually,aggregated,Entreprises}","2021-03-05 23:59:59"
Nombre de TPE/PME/ETI bénéficiaires - APS,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/03/2021,false,235,true,"",false,"","{appel à projets,planningdate:032021,aggregated,Entreprises,Plan de Relance européen,periodicity:monthly}","2021-03-05 23:59:59"
Nombre d'entreprises bénéficiaires - DRA,,None,None,None,None,false,false,Nombre d'entreprises bénéficiaires,false,427,true,"",false,"","{Plan de Relance européen,periodicity:monthly,PIA}","2021-03-05 23:59:59"
Nombre de places ouvertes en internat d’excellence - IEX,,None,None,None,None,false,false,"",false,285,true,"",false,"","{Plan de Relance européen,aggregated,Particuliers,periodicity:monthly,effect:main,Jeunes}","2021-03-05 23:59:59"
Places créées en IAE pour les jeunes - IAE,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/01/2021,false,615,true,"",false,"","{planningdate:012021,tableau de bord,cumulated,Jeunes,aggregated,Particuliers,effect:main,periodicity:monthly}","2021-03-05 23:59:59"
Nombre de projets soutenus - ETH,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur : 30/03/2021,false,425,true,"",false,"","{Entreprises,appel à projets,effect:main,Plan de Relance européen,planningdate:032021,periodicity:monthly,Collectivités territoriales,aggregated,Convention citoyenne pour le climat}","2021-03-05 23:59:59"
Nombre de TPE/PME/ETI financées - AFG,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/07/2021,false,212,true,"",false,"","{Collectivités territoriales,periodicity:monthly,planningdate:072021,Plan de Relance européen,cumulated,aggregated,Entreprises,effect:main,tableau de bord}","2021-03-05 23:59:59"
Nombre de chercheurs bénéficiaires de la mesure - ERD,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 03/2021,false,245,true,"",false,"","{Entreprises,effect:main,cumulated,planningdate:032021,aggregated,periodicity:quarterly}","2021-03-05 23:59:59"
Montant des financements engagés par les opérateurs - MNS,,None,None,None,None,false,false,"",false,330,true,"",false,"","{aggregated,PIA,Entreprises,Plan de Relance européen,periodicity:quarterly}","2021-03-05 23:59:59"
Pourcentage des entreprises réalisant un état des GES en début ou en fin de période - FVE,,None,None,None,None,false,false,"",false,188,true,"",false,"",{},"2021-03-05 23:59:59"
Nombre de projets soutenus - REA,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 28/02/2021,false,421,true,"",false,"","{Collectivités territoriales,planningdate:022021,Administrations,appel à projets,aggregated,periodicity:monthly,effect:main,Plan de Relance européen,cumulated}","2021-03-05 23:59:59"
Nombre de logements et locaux professionnels connectables à la fibre - THD,,None,None,None,None,false,false,"",false,55,true,"",false,"","{aggregated,Particuliers,Plan de Relance européen,periodicity:quarterly,effect:main}","2021-03-05 23:59:59"
Nombre de stratégies validées - MTV,,None,None,None,None,false,false,"",false,317,true,"",false,"","{periodicity:monthly,PIA,Entreprises,aggregated}","2021-03-05 23:59:59"
Nombre de TPE/PME/ETI financées - ROF,,None,None,None,None,false,false,"",false,214,true,"",false,"","{Entreprises,tableau de bord,aggregated,effect:main,periodicity:monthly}","2021-03-05 23:59:59"
