"structure_id","top_level_id","structure_name","structure_is_part_of_update_period","structure_scorecard_frequency","structure_is_hidden","structure_has_correction","structure_level","snapshot_date"
"7a25ba891fe64f8b8703bd163bf35183","4bfcd9f5332444c0a87edfe5ae888cb5",Top,false,"",false,false,0,"2021-03-05 23:59:59"
"28692c8f0ab0485099562b749d75d437",a9483b24a58a4814a2811a8ac6e3f8c7,Top,false,"",false,false,0,"2021-03-05 23:59:59"
c4891aa308c8491f926a499bd088d2a7,b70bd5a07fd84d25bbbda49cbb77715b,Mesure,true,Monthly,false,false,10,"2021-03-05 23:59:59"
"108d41af50ec4169a408ea2db17309b3",e32e96fc561a43a1b7517325e41cd140,Région,false,Monthly,false,false,20,"2021-03-05 23:59:59"
ba5f33577b654ff4b721e6bbdc63d544,"3f282353024b4b39b9399fff5f357a70",Milestone,false,"",false,false,3000,"2021-03-05 23:59:59"
"3d42d10497f44442841dbecb96d77b37",b70bd5a07fd84d25bbbda49cbb77715b,Région,false,"",false,false,20,"2021-03-05 23:59:59"
a745f49424ee4d23907d1e686904a9ea,e54776ef15824579b63591f3a53bd4b4,Département,false,Monthly,false,false,30,"2021-03-05 23:59:59"
"8397fafe6cef413e938bf295cc914db8","4bfcd9f5332444c0a87edfe5ae888cb5",Milestone,false,"",false,false,3000,"2021-03-05 23:59:59"
"4cdfcddc211f4be2bcf22062f9913a3b","2cefb69d22354e4e9fbda92d29d06963",Mesure,true,Monthly,false,false,10,"2021-03-05 23:59:59"
c069fa3a95994ebc8c1f290c6dea4fb2,e54776ef15824579b63591f3a53bd4b4,Top,false,"",false,false,0,"2021-03-05 23:59:59"
c894d62f0d544ca2a189ad4da87abb5c,"57ad11ea19bb41f0b6cbceb6790cbe74",Milestone,false,"",false,false,3000,"2021-03-05 23:59:59"
"2433e7439e9440c89c3900d9b6edc760",d30b145420b54405975a0fec31db9ac4,Département,false,"",false,false,30,"2021-03-05 23:59:59"
d290ce147394437b809f3634e4687c66,"916b461ec9d04f45b7157a554e904ea0",Département,false,Monthly,false,false,30,"2021-03-05 23:59:59"
f916886b081b4374bb11b9e5bdabf699,"9c902e1d0db942309735ab1e4eb19908",Mesure,true,Monthly,false,false,10,"2021-03-05 23:59:59"
"4a5861d140f14ab39baffb20b99659ee","0d534b1da37e41618105219ca093ad04",Top,false,"",false,false,0,"2021-03-05 23:59:59"
b38e8a55ab464493b24d01b7f1d0ea3f,"836cc22bc3cf41ebb7ad82feeaed6dbc",Top,false,"",false,false,0,"2021-03-05 23:59:59"
e50da20a4e7a465da8679e93a4a8ac32,"4bfcd9f5332444c0a87edfe5ae888cb5",Région,false,Monthly,false,false,20,"2021-03-05 23:59:59"
bfc4255ebeaf4da4a6ce80f78f4bdaaf,"523b9e6abd3a4e56a7535e8eee95b78d",Région Académique,false,"",false,false,20,"2021-03-05 23:59:59"
e2cd723460104960bdd741765e74eb5a,"4bfcd9f5332444c0a87edfe5ae888cb5",Mesure,true,Monthly,false,false,10,"2021-03-05 23:59:59"
e1c00d2c00e4432aa0dd459dba416329,"9c902e1d0db942309735ab1e4eb19908",Top,false,"",false,false,0,"2021-03-05 23:59:59"
b2dc2c81e0b6423e8662ee74a87ae6f3,"6d2c9fc81a5d45b7a980b9b627201f7f",Département,false,Monthly,false,false,30,"2021-03-05 23:59:59"
